iter	Passed	Remaining
0	1	186
1	3	180
2	5	168
3	6	155
4	8	153
5	9	150
6	11	146
7	12	146
8	14	146
9	15	143
10	17	141
11	19	139
12	20	137
13	22	138
14	24	136
15	25	135
16	27	134
17	29	133
18	30	131
19	32	129
20	34	128
21	35	126
22	36	123
23	38	121
24	39	119
25	41	118
26	43	117
27	44	115
28	46	113
29	48	112
30	49	110
31	51	109
32	53	108
33	54	106
34	56	104
35	57	103
36	59	101
37	60	99
38	62	98
39	64	96
40	65	94
41	66	91
42	67	89
43	69	88
44	71	86
45	72	85
46	74	83
47	75	81
48	77	80
49	78	78
50	80	77
51	81	75
52	83	73
53	84	72
54	85	70
55	87	68
56	88	66
57	89	65
58	91	63
59	93	62
60	94	60
61	96	58
62	97	57
63	98	55
64	100	54
65	101	52
66	103	50
67	104	49
68	106	47
69	108	46
70	109	44
71	111	43
72	112	41
73	114	40
74	115	38
75	117	36
76	118	35
77	120	33
78	121	32
79	123	30
80	124	29
81	126	27
82	127	26
83	129	24
84	130	23
85	132	21
86	134	20
87	136	18
88	138	17
89	140	15
90	141	14
91	143	12
92	145	10
93	146	9
94	147	7
95	149	6
96	150	4
97	151	3
98	153	1
99	154	0
